Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House,Name,Surname,Age,ID
Pure-blood,,,0,4,3,6.0,1,10,Ravenclaw,Matthew,Deleon,13.0,3bb74503-6641-46f0-89fb-7cb74d0cfd15
Pure-blood,10.0,7.0,1,5,0,10.0,5,3,Gryffindor,Ronnie,Bridges,18.0,6fa4f9e5-7aa5-48ec-9e5c-b7364a475607
Half-blood,8.0,4.0,1,5,4,10.0,9,1,Gryffindor,Katherine,Deleon,13.0,0d87904b-0039-4c01-9891-cd5092ff6791
Muggle-born,6.0,1.0,3,10,9,10.0,7,7,Slytherin,Jacob,Morris,17.0,df0d7d78-c2d5-4fe7-afb8-62d4f7027362
Half-blood,3.0,5.0,1,6,9,5.0,6,5,Slytherin,James,Carey,17.0,0f5c5cdd-4716-4f13-b65f-26a06469ee97
Pure-blood,3.0,7.0,4,6,4,0.0,4,7,Ravenclaw,John,Baker,17.0,eb792da4-f487-4314-8d16-a6eeac86bb41
Pure-blood,0.0,8.0,10,3,2,1.0,6,9,Hufflepuff,Felicia,Hall,16.0,a87a400b-eba3-48c7-a727-f3eb5aaeecc6
Pure-blood,5.0,8.0,8,4,3,,6,1,Hufflepuff,Michael,Beard,17.0,8fb8f611-400a-409f-972d-619c86e5f748
Muggle-born,8.0,7.0,7,10,10,9.0,9,5,Slytherin,James,Jackson,11.0,2edd0145-6589-4144-adca-61e0d68aef89
Pure-blood,5.0,,6,9,7,10.0,10,3,Slytherin,Teresa,Mullen,,2bd88110-4690-4026-adde-36b0f3a28ac7
Pure-blood,10.0,1.0,5,4,0,8.0,8,2,Gryffindor,Sarah,Garza,13.0,1cc585ba-1e01-4bbf-b6b6-2a251a7a28bb
Pure-blood,,4.0,3,9,9,,8,7,Slytherin,Jennifer,Alvarez,15.0,aec4c066-d7b3-46b7-9507-4a44fbb91bee
Pure-blood,1.0,5.0,8,2,2,9.0,0,4,Hufflepuff,Jacob,Vance,12.0,ca7e27ab-e04d-4a73-907d-e6b4697bb9bb
Pure-blood,10.0,9.0,4,3,0,7.0,10,6,Gryffindor,Johnny,Mccoy,12.0,f251a463-a7d4-45a8-8d15-0d18233c0943
Muggle-born,3.0,6.0,2,9,10,5.0,6,6,Slytherin,David,Pitts,11.0,cc7fc759-71dc-4f81-b821-9b8978018a46
Pure-blood,7.0,7.0,1,7,0,6.0,10,4,Gryffindor,David,Rodriguez,15.0,960fe88e-7e8b-40a7-a88c-674fbb946721
Muggle-born,8.0,4.0,8,7,5,6.0,10,9,Gryffindor,Karen,Vance,18.0,6dea16cd-4123-459e-94b9-fe467584ced1
Muggle-born,7.0,8.0,5,3,0,6.0,6,7,Ravenclaw,Amanda,Pitts,15.0,4c955203-80b9-4ec8-9e00-b7cb19697367
Half-blood,5.0,7.0,3,2,0,0.0,4,10,Ravenclaw,Rachael,Moreno,17.0,6ba41a1c-0df2-49b5-a073-2f3402898c7b
Muggle-born,4.0,2.0,5,10,10,10.0,5,2,Slytherin,Joseph,Watkins,12.0,a4647684-393d-4d05-96db-8320246640c6
Half-blood,2.0,9.0,3,3,3,3.0,1,8,Ravenclaw,Brooke,Collins,17.0,75f5d7f1-2aa6-4d65-b18e-09fe4bbaf77f
Half-blood,2.0,3.0,8,1,0,6.0,3,2,Slytherin,Gerald,,13.0,5730fc14-28a4-41e9-b09a-f41e4b992ecb
Pure-blood,,5.0,8,6,6,3.0,9,1,Slytherin,Carlos,Henderson,13.0,f48347be-345d-4727-9a9e-b099c0124370
Half-blood,8.0,1.0,6,1,3,8.0,5,6,Gryffindor,Susan,Harris,17.0,4e53556e-6abb-4abb-a9fd-717f51366ada
Half-blood,6.0,5.0,2,9,6,5.0,7,1,Slytherin,Kevin,Green,11.0,09bc048f-5715-4f85-b7cf-6442ee462d6f
Pure-blood,2.0,7.0,1,6,2,4.0,3,10,Ravenclaw,Kari,Morris,,ebaf36f5-b9f6-4673-a29c-99805dd0e7a9
Half-blood,9.0,6.0,4,0,0,9.0,9,5,Gryffindor,Kevin,Carey,16.0,0bd9797f-f9bc-4fe2-a9b4-697ee38152b9
Pure-blood,5.0,5.0,2,7,7,5.0,10,4,Slytherin,Nichole,Jennings,11.0,fd415442-07ab-4b3b-86e8-759ecb0426f6
Muggle-born,4.0,10.0,7,7,1,0.0,4,10,Ravenclaw,Christopher,Bridges,13.0,013f0291-cfd2-417d-bf2e-af5f9fcdeee7
Pure-blood,3.0,8.0,10,1,4,7.0,5,0,Ravenclaw,Ian,Lovegood,16.0,ed79e86a-f82d-444c-af12-284be2b0f303
Muggle-born,2.0,10.0,6,4,2,3.0,9,10,Ravenclaw,Joe,Baker,17.0,e9797d9d-4e1b-4543-bb52-c17d64c67a4b
Pure-blood,1.0,8.0,10,6,3,4.0,2,7,Hufflepuff,Phillip,Davis,18.0,8b8241de-d4d5-4fa6-9442-7296ee1cd835
Half-blood,1.0,4.0,5,9,10,5.0,10,8,Slytherin,Jeffrey,Williams,18.0,a900403c-ef4b-4e2b-b246-fcbe7447027b
Muggle-born,6.0,3.0,8,10,7,9.0,6,4,Slytherin,Matthew,Hartman,,6ff69d23-77ff-4d2a-a2d9-44cfeeea73a7
Pure-blood,1.0,8.0,5,2,0,2.0,1,1,Hufflepuff,Alisha,Williams,17.0,1abb597d-a0b8-4a9c-b0aa-b464fff7ff6d
Muggle-born,6.0,6.0,7,0,2,0.0,6,8,Ravenclaw,Brandy,Watkins,15.0,6c156ded-11dd-4f00-ba3c-9c4d447ae1f8
Pure-blood,4.0,3.0,6,1,2,8.0,6,2,Hufflepuff,Kelly,Riley,17.0,4425631f-1c2a-450d-acf9-15ef91634759
Muggle-born,1.0,9.0,2,5,5,6.0,6,8,Ravenclaw,Rebekah,Booth,13.0,000e85ea-a705-40ed-9866-f867df9003a9
Half-blood,7.0,10.0,4,2,3,2.0,5,8,Ravenclaw,Sherri,Kelly,15.0,a433e0dc-0314-427a-865e-de167c3f74bc
Pure-blood,,,5,1,0,7.0,0,8,Ravenclaw,Tracy,Sherman,11.0,e7e9f4a4-0dae-4555-a9d4-48b2d8ead0d0
Pure-blood,5.0,2.0,10,3,1,6.0,7,5,Hufflepuff,Brian,Green,14.0,440ea867-477b-4d70-b86b-9c1b3c7c4b81
Half-blood,3.0,5.0,5,3,2,9.0,3,10,Ravenclaw,Laura,Villanueva,12.0,eea90d5b-17fc-41c2-a2ff-336aa4e84f5f
Muggle-born,8.0,1.0,0,6,5,7.0,8,6,Gryffindor,Reginald,White,17.0,d2bd592c-a46f-47c7-b67d-d15ee8150bea
Muggle-born,2.0,6.0,5,7,3,3.0,8,2,Hufflepuff,Paula,Jennings,18.0,67bd4254-d20f-4676-abd6-ea0246cb2445
Muggle-born,6.0,9.0,5,4,3,9.0,7,5,Gryffindor,Matthew,Morris,16.0,c0adee2c-3624-4167-8809-d6a5b6c9efee
Pure-blood,7.0,4.0,5,3,5,10.0,10,6,Gryffindor,Philip,Hall,14.0,e0570af8-1d17-473f-b4a9-56a023e3ba5b
Half-blood,7.0,10.0,1,4,6,3.0,2,10,Ravenclaw,Laura,King,13.0,354a0495-ede1-4874-8458-9fdb71d2bf92
Pure-blood,4.0,10.0,0,0,0,7.0,5,7,Ravenclaw,Sabrina,Riley,17.0,af9a2a4e-be92-4c95-9f13-d3b8aaf996b3
Half-blood,10.0,8.0,3,9,0,7.0,9,1,Gryffindor,Jaime,Williams,16.0,34fa25c2-ee07-41a6-bda5-e2a1876247eb
Muggle-born,4.0,7.0,9,5,2,5.0,9,1,Hufflepuff,Christina,Reilly,14.0,3938283b-af60-4cd7-9454-d031059ba619
Half-blood,4.0,7.0,0,7,0,1.0,4,10,Ravenclaw,Zachary,Scott,17.0,250f6483-9148-4ba4-b076-3d7f1fda0b75
Half-blood,4.0,8.0,5,5,3,8.0,1,6,Ravenclaw,Amber,Craig,12.0,fef98bb6-3d01-4528-b202-0ee8662e5dae
Half-blood,3.0,3.0,5,10,10,4.0,6,4,Slytherin,Christy,Williams,12.0,b2d180be-28ce-4d0d-83d2-ff917feec53e
Half-blood,2.0,7.0,5,6,6,8.0,7,7,Slytherin,Jacqueline,Crane,12.0,e793ca07-731b-421e-996a-2788298ae69e
Pure-blood,8.0,5.0,2,6,5,10.0,6,4,Gryffindor,Bradley,Shaw,11.0,bbf66c98-ba54-4f7b-9c04-7dc397cae5c0
Pure-blood,5.0,6.0,10,7,3,5.0,1,2,Hufflepuff,Katherine,Green,17.0,336c0b2f-dfac-45cc-ac76-f6e89c9cb9b2
Pure-blood,,,5,6,3,7.0,10,8,Gryffindor,Lauren,,15.0,22f7b18c-dc7c-4ab6-951d-0e184f665f97
Half-blood,8.0,3.0,0,5,0,5.0,10,4,Gryffindor,Carol,Kelly,12.0,cee52ccf-75cf-4652-9f17-b74754abcdb2
Half-blood,7.0,7.0,5,7,1,10.0,10,1,Gryffindor,Lindsay,Perez,16.0,60a91cec-2068-4c6c-85c1-8e82aa1643c6
Muggle-born,1.0,1.0,1,6,7,4.0,6,4,Slytherin,Zachary,Osborne,18.0,ea3fc96d-3caf-4f69-ac28-8cdae446018d
Half-blood,1.0,3.0,5,7,10,10.0,7,4,Slytherin,Danielle,Ramirez,12.0,1cbde70f-b68e-4533-a16d-c70a7253de24
Muggle-born,7.0,8.0,0,2,5,1.0,3,10,Ravenclaw,Melissa,Baker,17.0,38c4a28f-3921-47a9-9514-ca311a6b040c
Half-blood,0.0,2.0,5,9,5,8.0,7,3,Slytherin,Stephanie,Scott,18.0,facde478-cb29-44db-99c7-81825d26253d
Muggle-born,5.0,7.0,1,6,3,6.0,6,6,Ravenclaw,Megan,Wilkerson,14.0,419a124b-c882-40f1-a892-f07766e82e2a
Pure-blood,9.0,9.0,6,3,4,3.0,1,6,Ravenclaw,Deborah,Jennings,14.0,3459d62f-c297-403c-a3c9-9e19d5e71edf
Muggle-born,,9.0,5,2,3,0.0,2,7,Ravenclaw,Christina,Baker,15.0,754e398f-09d2-4c2e-be32-be95cf21a8b9
Muggle-born,10.0,4.0,5,6,0,3.0,9,5,Gryffindor,Julian,Burke,17.0,a742b893-7b94-42df-96f7-0e5a9909b954
Pure-blood,2.0,2.0,5,0,2,4.0,3,8,Hufflepuff,John,Russell,17.0,4a57cd4d-8662-46f5-ac80-09c3fc18a128
Pure-blood,5.0,1.0,9,2,4,2.0,1,7,Hufflepuff,Susan,Martinez,12.0,fbc969b6-011a-4597-a3bc-448754a6ebca
Pure-blood,,1.0,8,8,2,3.0,5,2,Hufflepuff,Sonia,King,12.0,b90f6349-0e09-4b58-bb5c-8c9d1652772c
Half-blood,10.0,4.0,7,6,2,8.0,7,2,Gryffindor,Jane,Mullen,16.0,69d74dbf-cfb8-4cd0-a88b-51e5566f4239
Muggle-born,1.0,8.0,4,7,0,1.0,8,7,Ravenclaw,Maria,Reyes,13.0,90e5d686-bd90-4212-ac91-a0aa16a96b3a
Half-blood,3.0,8.0,4,0,1,6.0,3,8,Ravenclaw,Kimberly,Hester,16.0,55559dfd-75ea-4169-9b45-9586cddb57a4
Half-blood,5.0,8.0,1,7,2,0.0,9,9,Ravenclaw,Todd,Perez,,107f5218-20dc-4fa5-ac23-a29f32f5b2e6
Half-blood,6.0,1.0,8,3,5,2.0,3,0,Hufflepuff,Erica,Contreras,18.0,74337cab-b3e7-4dcb-8412-75347b993a36
Half-blood,8.0,8.0,8,1,1,3.0,9,0,Gryffindor,Carlos,Peterson,14.0,2b52a36a-9998-408e-a507-3cf2ee98ecce
Half-blood,3.0,,9,10,10,,9,1,Slytherin,Sara,Craig,17.0,7f5a0efb-f30f-4872-bd4f-859432734131
Half-blood,9.0,8.0,2,8,4,8.0,8,6,Gryffindor,James,,14.0,8250ad9f-6118-4304-adef-290d68f1cf3e
Muggle-born,3.0,6.0,7,10,7,4.0,8,4,Ravenclaw,Stephanie,Lovegood,11.0,4c60d3b1-a50c-4e91-9588-79ac543d50f4
Pure-blood,,0.0,4,2,2,10.0,9,4,Gryffindor,Linda,Wilkerson,16.0,6899c276-e521-4eee-bcac-74d14ea8af9f
Half-blood,10.0,3.0,4,5,4,7.0,10,0,Gryffindor,Matthew,Ramirez,15.0,fb4cda4f-8e6d-4849-bfc7-59cf7d741e72
Half-blood,7.0,,4,0,6,0.0,1,8,Ravenclaw,Robin,Bridges,16.0,23194d0c-e0ff-43a6-a6b7-4776fa3b1ede
Muggle-born,4.0,9.0,2,5,0,0.0,2,9,Ravenclaw,John,Crane,13.0,238cb5e5-e3f4-4a57-9139-68686a455fa0
Half-blood,2.0,6.0,0,3,5,2.0,1,10,Ravenclaw,Andrea,Watkins,13.0,f95a298c-8b08-4ef5-89e3-aaacef919af0
Half-blood,8.0,2.0,3,3,0,10.0,10,7,Gryffindor,Becky,Osborne,15.0,c69c2345-f3b9-4231-a748-e68925ae1b3b
Muggle-born,6.0,5.0,3,9,6,8.0,10,5,Slytherin,Jeffrey,Collins,18.0,986b09dd-1530-4cb9-888b-1d0d8b731000
Muggle-born,8.0,5.0,3,2,6,7.0,9,4,Gryffindor,Christine,Norris,18.0,365496cf-b6c5-4733-8c2e-7b60e0539d50
Muggle-born,3.0,4.0,9,7,9,6.0,7,6,Slytherin,Phillip,Wilkerson,11.0,9664fece-d3b6-4e70-9c84-7e61031760c6
Half-blood,3.0,0.0,6,6,7,5.0,6,6,Slytherin,Thomas,Tucker,13.0,4e7f5ee0-e64b-47d9-88cf-aa56b9e96e20
Pure-blood,5.0,7.0,9,5,3,4.0,1,2,Hufflepuff,Jessica,Burke,11.0,f8503e3d-6722-4ca9-967b-fb6ab7371d28
Half-blood,7.0,8.0,6,4,2,4.0,8,4,Hufflepuff,Amy,Lewis,17.0,3b96ae5f-97b9-4943-a254-cc26a8673e1c
Muggle-born,9.0,1.0,4,1,2,8.0,9,3,Gryffindor,Beth,Simmons,14.0,5b149cab-9344-485c-9dca-c5257fb3c76a
Half-blood,6.0,7.0,1,8,10,9.0,10,8,Slytherin,Allen,Fuller,14.0,0f529de8-a0eb-4a41-8202-e32d33119485
Pure-blood,5.0,2.0,7,9,2,4.0,1,2,Hufflepuff,Eddie,Harris,17.0,bb017631-7d7e-4e3c-b344-0d0a33cfb2b0
Pure-blood,7.0,7.0,9,8,2,2.0,2,8,Ravenclaw,Travis,Powers,11.0,4623085d-4678-48a6-b55f-5a352cb38264
Half-blood,3.0,1.0,6,5,5,4.0,3,3,Hufflepuff,Lisa,Diaz,15.0,1c2f4706-5809-45a3-8857-6fb8a58f8201
Pure-blood,7.0,6.0,3,10,10,8.0,10,3,Slytherin,Ryan,Morris,11.0,e04b8c62-a237-4522-9dd3-cd4da4d3ee74
Pure-blood,4.0,3.0,2,10,7,8.0,8,3,Slytherin,Jonathan,,13.0,1d2b9205-4a15-4b2a-a5ef-4885f4e3aa80
Pure-blood,4.0,2.0,8,5,6,0.0,7,8,Hufflepuff,Gabriel,Hartman,14.0,ebfbbcb3-1e89-4734-b825-f8ba3e2d70f7
Muggle-born,4.0,6.0,2,3,3,6.0,2,9,Ravenclaw,Robert,Mccoy,14.0,74eb8311-3336-4a90-94b8-6307c0e69d9c
Pure-blood,10.0,6.0,5,4,2,10.0,7,4,Gryffindor,Kara,Glenn,12.0,07790015-6e23-43cb-b5e8-11822022be66
Muggle-born,7.0,0.0,9,1,5,0.0,1,2,Hufflepuff,Paul,Villanueva,12.0,67d2bfaf-dd75-4621-a93f-7a366bb751d7
Pure-blood,0.0,,5,8,10,6.0,5,1,Slytherin,Maria,Osborne,17.0,7a4ca452-b2cc-490b-a8e6-55213819652d
Pure-blood,9.0,5.0,6,4,5,,10,5,Gryffindor,Hunter,Perez,12.0,82bcce4f-622e-41ea-acf9-4b82f5e94a4d
Muggle-born,1.0,2.0,3,10,10,9.0,8,4,Slytherin,Sierra,,15.0,4e89a4ad-5172-4968-a38e-7b69cab8b66d
Muggle-born,0.0,3.0,7,8,8,6.0,10,2,Slytherin,David,White,12.0,be6f6fea-25bc-46b1-82b6-78eb56398234
Muggle-born,7.0,3.0,3,9,6,6.0,10,7,Slytherin,Karen,White,15.0,87ace71d-19ea-402b-9145-de470254290e
Pure-blood,9.0,,3,0,4,5.0,4,8,Ravenclaw,Jennifer,Lee,11.0,c7250b8f-eb60-4b06-8735-d23ea841350e
Muggle-born,8.0,8.0,4,9,3,2.0,1,10,Ravenclaw,Brandon,Villanueva,11.0,4d2ee63b-4f2b-4b05-a4d4-bce0b7e46b2c
Half-blood,,6.0,2,6,8,10.0,9,3,Slytherin,Joshua,Reilly,18.0,afdc132b-6282-486b-896c-bd773ad2a72f
Muggle-born,5.0,4.0,10,5,3,7.0,2,8,Hufflepuff,Michelle,Jennings,16.0,bb66d9d8-b670-4037-b57d-3cd240b39ba3
Half-blood,10.0,6.0,4,5,2,7.0,10,2,Gryffindor,Sarah,Taylor,17.0,e37a6ce6-befe-4e87-8d4c-61cf086fe92e
Pure-blood,6.0,4.0,6,7,4,6.0,4,0,Hufflepuff,Alison,Vance,12.0,60a4cdb4-17b4-48fa-a0cf-49db178ebd53
Half-blood,1.0,3.0,9,5,3,2.0,4,3,Hufflepuff,Teresa,Collins,15.0,6291de27-e972-4ad8-a627-82699f035d50
Muggle-born,2.0,5.0,6,0,2,5.0,6,8,Ravenclaw,Maria,Mccoy,17.0,96259564-cfef-461a-b858-0178863325c6
Half-blood,5.0,4.0,7,6,2,10.0,8,7,Gryffindor,Emily,Martinez,,72654a29-e76d-44fb-99aa-350c9befd24f
Half-blood,8.0,5.0,8,10,8,10.0,10,7,Slytherin,Christine,Jackson,16.0,84180a1a-e24d-4ae9-b2b5-170699716e4e
Pure-blood,0.0,9.0,1,2,3,5.0,5,6,Ravenclaw,Dawn,Ramirez,11.0,c97fe370-5ef6-4e56-8973-8bdddf31c658
Pure-blood,1.0,5.0,6,5,8,7.0,10,7,Slytherin,Matthew,Ross,13.0,f226f0c2-a615-43f3-97f6-9a54d9dffac9
Half-blood,,6.0,8,2,6,6.0,6,7,Hufflepuff,Wendy,Ryan,13.0,64c4cea4-5bbd-44e3-b009-9159797dda7b
Muggle-born,10.0,4.0,6,2,2,8.0,6,1,Gryffindor,Teresa,Harris,16.0,fb42b266-b696-4bb8-9b17-b64d9fc82b29
Pure-blood,9.0,1.0,5,9,10,,9,3,Slytherin,Catherine,Cain,16.0,f7fd6ee0-2841-44d9-9c0f-6dc71d041a39
Pure-blood,7.0,5.0,4,1,1,8.0,6,2,Gryffindor,Darlene,Anderson,15.0,de0c5f07-aa63-4540-b3e2-ff03586ecf9d
Half-blood,2.0,8.0,3,5,6,3.0,6,9,Ravenclaw,Christopher,Collins,16.0,f37c16f8-fb6e-4b92-b3fe-942f0f33fa28
Pure-blood,9.0,8.0,8,10,6,4.0,7,4,Slytherin,Matthew,Wilkerson,,32a7e275-6732-4399-b1a8-c147ce440474
Muggle-born,8.0,8.0,3,9,7,3.0,8,4,Slytherin,Jennifer,Bell,18.0,8a4112ba-5ff2-4c47-afc6-c48c44e0d52d
Muggle-born,1.0,3.0,5,3,0,2.0,0,1,Slytherin,Peggy,Malfoy,17.0,b1af8382-38d9-4b86-a06b-07498165eea3
Pure-blood,9.0,7.0,1,1,2,6.0,5,7,Gryffindor,Charlotte,Fuller,16.0,3d9c56f9-429d-4f73-b645-b0f38c971851
Half-blood,0.0,9.0,10,4,0,4.0,6,2,Hufflepuff,Jennifer,Santiago,14.0,af1c6503-18e7-48ba-8cae-07ef8f053fea
Muggle-born,3.0,5.0,9,0,3,4.0,6,6,Hufflepuff,Carla,Perez,16.0,94434ef9-d59b-49ce-8c6c-b211dd6a1117
Half-blood,,2.0,4,7,9,10.0,10,4,Slytherin,John,Osborne,15.0,64119534-b284-4f19-b60c-ae7e3d0344ed
Half-blood,6.0,10.0,5,5,2,1.0,3,10,Ravenclaw,Douglas,Mccoy,16.0,66b9ec16-eeff-4247-979a-f8e440bee7af
Half-blood,4.0,2.0,8,4,6,2.0,5,6,Hufflepuff,Jennifer,Franco,15.0,ff56e366-e4d6-4146-869e-ecd227caf693
Muggle-born,10.0,0.0,4,6,2,4.0,8,5,Gryffindor,Neil,Jennings,11.0,a12cc1ab-3439-4cd0-a464-465bc03f05a5
Pure-blood,7.0,5.0,6,0,1,9.0,10,2,Gryffindor,John,Sherman,12.0,5423979a-d010-461c-93bb-fb63b2e0c915
Pure-blood,2.0,5.0,0,10,10,10.0,9,1,Slytherin,Austin,Morse,15.0,7eef605e-e537-401d-a811-6a22b32f3f76
Muggle-born,9.0,2.0,5,7,2,9.0,7,5,Gryffindor,James,Williams,17.0,6bd06464-95f3-4e46-a42f-d26865e78e1d
Muggle-born,5.0,4.0,8,8,1,4.0,6,0,Hufflepuff,Grace,Johnson,15.0,d851ef35-49c5-4ab5-b3db-7ac8f545144d
Half-blood,5.0,4.0,4,9,7,10.0,10,4,Slytherin,Matthew,Scott,15.0,02634ffa-1b4d-4978-9094-bcf6fdc1a366
Pure-blood,,8.0,2,5,4,,8,6,Ravenclaw,Dennis,Contreras,11.0,45f096cd-6b67-4abf-8b6b-e69497eec92a
Half-blood,8.0,5.0,2,6,2,4.0,10,8,Gryffindor,Laura,Johnson,16.0,10c155d6-c103-460a-9aa7-de9b9fb4fbdd
Half-blood,6.0,2.0,1,1,2,6.0,7,2,Gryffindor,Raymond,Williams,15.0,46265551-ba33-4ad8-b200-e53e2b3508ce
Half-blood,,8.0,5,2,5,0.0,7,10,Ravenclaw,Keith,Morris,14.0,c828a14a-f716-4a22-96ad-2c00983b7a04
Half-blood,2.0,,9,4,0,3.0,3,8,Ravenclaw,Kelly,,14.0,d164c55d-65ec-4a25-bfb6-b6acbdba82c2
Muggle-born,3.0,7.0,2,5,1,6.0,0,9,Ravenclaw,Lauren,Martinez,12.0,0d1db60b-7d97-4968-9003-e8cff3c007a6
Muggle-born,8.0,5.0,2,4,6,10.0,8,5,Gryffindor,Jordan,Pitts,13.0,6a23b0d2-a055-456b-a69b-272692ed37e2
Muggle-born,0.0,10.0,4,0,4,4.0,2,7,Ravenclaw,Trevor,Green,12.0,03bd5a4c-b495-4b1d-b204-2369e7f8420b
Half-blood,5.0,6.0,7,5,6,5.0,4,4,Hufflepuff,Kyle,Jennings,13.0,3cce26cd-c7e3-4d70-8a10-36753bcd192d
Half-blood,,5.0,7,4,6,6.0,4,5,Hufflepuff,Theresa,Craig,18.0,cfd3849a-8f5b-4a14-aa09-58de5928dc54
Half-blood,4.0,10.0,5,3,2,6.0,2,10,Ravenclaw,Nathaniel,Cain,12.0,435857b2-296f-4b1c-b291-b921157ab287
Half-blood,1.0,1.0,9,5,0,1.0,4,0,Hufflepuff,Jeffrey,Glenn,18.0,2f65ea5a-11e2-44c6-a4fa-59e6e6e00676
Muggle-born,3.0,8.0,6,2,5,8.0,3,9,Ravenclaw,Joshua,Glenn,11.0,bda8916a-fe7b-4480-a410-b111dc1363da
Pure-blood,8.0,5.0,6,10,10,,8,4,Slytherin,Kristie,Hooper,18.0,b8af50bd-3078-40c4-b21f-f5b5e580b8ea
Half-blood,,6.0,1,7,1,8.0,7,8,Gryffindor,Gary,Johnson,17.0,aad6b0f9-927b-491d-81ac-9f0c4426f4b4
Muggle-born,1.0,6.0,2,0,5,1.0,5,10,Ravenclaw,Zoe,Andrade,18.0,3868d3eb-f03d-41f3-b121-a9004bd98425
Pure-blood,5.0,6.0,10,7,6,2.0,6,0,Hufflepuff,Tiffany,Cain,18.0,2282406e-15b4-4b0f-b4cb-3ca4fdf297c9
Pure-blood,2.0,4.0,5,5,1,2.0,3,3,Hufflepuff,Brittany,Powers,13.0,4a75ee54-f72c-4705-b228-7daae3236cda
Half-blood,2.0,7.0,6,8,3,6.0,6,2,Hufflepuff,Emily,Russell,15.0,e293b600-37dd-4b53-beae-0ecb1448dc20
Pure-blood,9.0,4.0,10,7,5,,5,4,Hufflepuff,Joseph,Jenkins,18.0,28381044-6d30-4f88-9ff5-d097db7fbbb6
Pure-blood,8.0,5.0,6,10,8,10.0,10,9,Slytherin,Melinda,Alvarez,15.0,e254fff6-4576-4cb8-ae61-50cb38a37756
Half-blood,9.0,10.0,7,3,2,3.0,5,9,Ravenclaw,James,King,16.0,146684f0-0b56-4fc0-a777-4091f6332618
Half-blood,5.0,5.0,8,9,6,7.0,9,2,Slytherin,David,Watkins,11.0,894e5193-2a49-428e-87ac-0c3bbf329294
Pure-blood,,8.0,2,8,4,2.0,6,6,Ravenclaw,Blake,Ryan,16.0,c33c2300-e21d-40f1-9dfc-2fd84681aabd
Pure-blood,10.0,2.0,7,2,2,6.0,9,4,Gryffindor,Marcus,Gill,11.0,81888e8f-2601-4d92-824d-3b8991513188
Muggle-born,1.0,10.0,1,2,4,,9,10,Ravenclaw,Ashley,Glenn,12.0,d3249d78-e6c1-4e49-b128-f1b2c86c43e9
Muggle-born,4.0,6.0,7,3,3,4.0,3,1,Hufflepuff,Jacob,Carey,16.0,5458c200-d63e-4287-93b8-a2c3d8676c88
Pure-blood,7.0,6.0,5,3,5,,9,6,Gryffindor,John,Ramirez,16.0,7537dde4-4f20-40a9-91e0-30fa131e6a73
Muggle-born,5.0,8.0,7,4,0,2.0,0,10,Ravenclaw,Travis,Crane,11.0,2fdf3a7f-0b80-4416-b366-f55963c3d813
Half-blood,6.0,6.0,0,5,4,7.0,5,7,Ravenclaw,Alexander,Mccoy,12.0,cc7c9dd9-a084-4084-9d7b-e0eafc37920c
Pure-blood,7.0,10.0,1,4,2,2.0,5,8,Ravenclaw,David,Green,12.0,686d4ace-9ca3-45fe-bef0-dde975a031ef
Pure-blood,6.0,10.0,4,2,3,3.0,5,6,Ravenclaw,Justin,Kim,13.0,81c54af2-9607-4153-b0fd-d398090e0b05
Pure-blood,4.0,5.0,6,10,8,10.0,10,9,Slytherin,Diane,Riley,16.0,db388b02-871e-4682-8499-4a0ece444d62
Muggle-born,10.0,7.0,8,2,5,10.0,8,2,Gryffindor,Heather,Ellis,11.0,14ca6152-7b49-43ab-bc21-cbb847e82d0a
Half-blood,4.0,3.0,5,9,9,8.0,7,4,Slytherin,Jared,Malfoy,14.0,f7154244-ab25-4660-b24d-552e3f48e318
Muggle-born,3.0,,8,9,8,7.0,10,5,Slytherin,Lori,Riley,17.0,a92b83d6-25db-4c83-acd7-87598d06d948
Muggle-born,10.0,4.0,7,9,2,8.0,8,5,Gryffindor,Curtis,Jackson,12.0,fec8476c-b4e1-45cf-94cd-738599c0f409
Half-blood,1.0,5.0,9,6,0,5.0,6,7,Hufflepuff,Jessica,Johnson,18.0,c97c24d9-914c-422c-98e1-d613a8430ea8
Muggle-born,,3.0,3,5,8,9.0,10,1,Hufflepuff,Logan,Diggory,13.0,61dc5713-c806-4f73-9a7d-b1b03e2a8786
Pure-blood,0.0,4.0,5,9,10,8.0,9,1,Slytherin,Jenna,Norris,15.0,b73ade1f-4029-48ff-85bb-3674023aeea4
Pure-blood,8.0,5.0,7,10,10,6.0,5,0,Slytherin,Amber,,16.0,4d28a25b-41c7-48bf-9d50-2d3db96729fe
Muggle-born,5.0,3.0,0,7,6,8.0,9,5,Slytherin,Blake,Hooper,11.0,e45bfffc-441c-4391-911d-fdb80ec9eeba
Half-blood,4.0,,4,9,5,10.0,10,4,Slytherin,Victoria,Ellis,17.0,f0b58aa0-1aa1-44a0-9ca5-741f401bd0b5
Muggle-born,7.0,5.0,8,2,0,3.0,6,7,Hufflepuff,Alice,Osborne,15.0,22837424-86a2-49b9-beea-9397fca4f401
Muggle-born,3.0,9.0,4,0,5,4.0,1,9,Ravenclaw,Tonya,Lee,14.0,4580a2bf-bbce-49c8-9623-97ec11a36b95
Half-blood,1.0,10.0,7,1,4,3.0,4,7,Ravenclaw,Ashley,Green,15.0,6aa81e84-e616-4468-bf7a-b5c691ad7855
